rarity, ship, name, source, image
3, Admiral, Admiral Mura, https://www.pixiv.net/artworks/69785831, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_admiral_mura.jpg
3, Abyssal, Air Defense Hime, https://www.pixiv.net/artworks/68790083, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_air_defense_hime.jpg
3, Yamashiro, Bashful Yamashiro, https://www.pixiv.net/artworks/58024565, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_bashful_yamashiro.jpg
3, Admiral/Asagumo/Fusou/Michishio/Yamagumo/Yamashiro, Battle Of Surigao Strait, https://www.pixiv.net/artworks/50347932, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_battle_of_surigao_strait.jpg
3, Mutsu/Nagato, Beach Secretaries, https://www.pixiv.net/artworks/52404675, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_beach_secretaries.jpg
3, Naganami, Break For Bubble Tea, https://www.pixiv.net/artworks/76354107, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_break_for_bubble_tea.jpg
3, Shoukaku/Zuikaku, Cardiv 5 Maids, https://www.pixiv.net/artworks/58293199, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_cardiv_5_maids.jpg
3, Shigure, Date With Shigure, https://www.pixiv.net/artworks/60380013, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_date_with_shigure.jpg
3, I-58, Dechi Note, https://www.pixiv.net/artworks/48569125, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_dechi_note.jpg
3, Akigumo/Kazagumo, Doujin Circle Autumn Cloud, https://seiga.nicovideo.jp/seiga/im8934535, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_doujin_circle_autumn_cloud.jpg
3, Abyssal, European Hime, https://seiga.nicovideo.jp/seiga/im6992439, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_european_hime.jpg
3, Admiral/Hibiki/Inazuma, Kamio Reiji, https://www.pixiv.net/artworks/65462198, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_kamio_reiji.jpg
3, Asashimo/Ashigara/Kasumi/Kiyoshimo/Ooyodo, Kimura Raiding Force, https://www.pixiv.net/artworks/58346231, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_kimura_raiding_force.jpg
3, Admiral, Narumi Tsuyu, https://www.pixiv.net/artworks/52198198, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_narumi_tsuyu.jpg
3, Asagumo/Fusou/Michishio/Mogami/Shigure/Yamagumo/Yamashiro, Nishimura Fleet, https://www.pixiv.net/artworks/66469254, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_nishimura_fleet.jpg
3, Akagi, Onee-sie Akagi, https://www.pixiv.net/artworks/48453671, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_onee-sie_akagi.jpg
3, Kasumi, Operation Ten-go, https://www.pixiv.net/artworks/54814831, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_operation_ten-go.jpg
3, Shimakaze, Schoolday Shimakaze, https://www.pixiv.net/artworks/39406050, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_schoolday_shimakaze.jpg
3, Shiranui, Shiranui Sparkle, https://twitter.com/ebihurya332/status/1171107526705737728, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_shiranui_sparkle.jpg
3, Amatsukaze, Soda For The Admiral, https://www.pixiv.net/artworks/45049727, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_soda_for_the_admiral.jpg
3, Shimakaze, Surfing Shimakaze, https://www.pixiv.net/artworks/40586032, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_surfing_shimakaze.jpg
3, Admiral, T-head Admiral, https://www.pixiv.net/artworks/38442034, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_t-head_admiral.jpg
3, Kaga, Traditional Dress, https://www.pixiv.net/artworks/63793011, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_traditional_dress.jpg
3, Musashi/Yamato, Yamato Class Sisters, https://www.pixiv.net/artworks/56478934, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_yamato_class_sisters.jpg
3, Admiral/Mochizuki, Yume No Owari, https://www.pixiv.net/artworks/58113122, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/3_yume_no_owari.jpg
2, Hibiki, Admiral Hibiki, https://www.pixiv.net/artworks/54317550, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_admiral_hibiki.jpg
2, Agano/Noshiro/Sakawa/Yahagi, Agano Class, https://twitter.com/i/web/status/979749100047384576, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_agano_class.jpg
2, Abyssal, Aircraft Carrier Princess, https://www.pixiv.net/artworks/51609463, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_aircraft_carrier_princess.jpg
2, Akitsushima, Akitsushimas Seaplane, https://www.pixiv.net/artworks/50783647, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_akitsushimas_seaplane.jpg
2, Amatsukaze, Amatsukaze In Action, https://www.pixiv.net/artworks/54256793, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_amatsukaze_in_action.jpg
2, Abyssal, Ancient Destroyer Hime, https://www.pixiv.net/artworks/62053675, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_ancient_destroyer_hime.jpg
2, Abyssal, Anti-submarine Warfare, https://www.pixiv.net/artworks/65480666, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_anti-submarine_warfare.jpg
2, Arare/Arashio/Asagumo/Asashio/Kasumi/Michishio/Ooshio/Yamagumo, Asashio Class, https://www.pixiv.net/artworks/56744855, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_asashio_class.jpg
2, Atago, Atago Victory Pose, https://www.pixiv.net/artworks/55189820, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_atago_victory_pose.jpg
2, Kiyoshimo, Battleship Kiyoshimo, https://twitter.com/i/web/status/1111229621331070977, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_battleship_kiyoshimo.jpg
2, Johnston, Bikini Johnston, https://www.pixiv.net/artworks/76540695, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_bikini_johnston.jpg
2, Ark Royal/Bismarck, Bismarck And Ark Royal, https://seiga.nicovideo.jp/seiga/im8786811, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_bismarck_and_ark_royal.jpg
2, Ooyodo, Bunny Ooyodo, https://www.pixiv.net/artworks/67600803, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_bunny_ooyodo.jpg
2, Hiryuu/Soryuu, Bunny Soryuu And Hiryuu, https://www.pixiv.net/artworks/71372485, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_bunny_soryuu_and_hiryuu.jpg
2, Suzutsuki, Bunnysuit Suzutsuki, https://twitter.com/6thbody/status/970322104112459776, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_bunnysuit_suzutsuki.jpg
2, Taihou, Bunnysuit Taihou, https://twitter.com/6thbody/status/875344195631759360, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_bunnysuit_taihou.jpg
2, Aquila/Saratoga, Carrier Maids, https://twitter.com/6thbody/status/1126851415014379521, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_carrier_maids.jpg
2, Haruna, Catgirl Haruna, https://www.pixiv.net/artworks/50158780, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_catgirl_haruna.jpg
2, Shigure, Cherry Blossom Shigure, https://www.pixiv.net/artworks/73618894, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_cherry_blossom_shigure.jpg
2, Chitose/Chiyoda, Chitose Sisters, https://danbooru.donmai.us/posts/1537448, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_chitose_sisters.jpg
2, Akigumo/Makigumo, Comiket Visit, https://www.pixiv.net/artworks/42005281, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_comiket_visit.jpg
2, Nagato/Prinz Eugen/Sakawa, Crossroads Reunion, https://twitter.com/i/web/status/710045170922692609, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_crossroads_reunion.jpg
2, Hamakaze/Isokaze/Tanikaze/Urakaze, Destroyer Division 17, https://twitter.com/i/web/status/1085910562624614400, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_destroyer_division_17.jpg
2, Arare/Kagerou/Kasumi/Shiranui, Destroyer Division 18, https://danbooru.donmai.us/posts/3065477, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_destroyer_division_18.jpg
2, Abyssal, Destroyer Hime, https://www.pixiv.net/artworks/56198936, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_destroyer_hime.jpg
2, Admiral/Kongou, Doting On Kongou, https://www.pixiv.net/artworks/55853361, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_doting_on_kongou.jpg
2, Duca degli Abruzzi/Giuseppe Garibaldi, Duca Degli Abruzzi Class, https://www.pixiv.net/artworks/76512645, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_duca_degli_abruzzi_class.jpg
2, Admiral/Shigure/Taigei, End Of Summer, https://www.pixiv.net/artworks/58769396, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_end_of_summer.jpg
2, Fubuki/Hatsuyuki/Isonami/Miyuki/Murakumo/Shirayuki/Uranami, Fubuki Class, https://www.pixiv.net/artworks/54546573, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_fubuki_class.jpg
2, Kashima, Garden Duty Kashima, https://www.pixiv.net/artworks/58397125, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_garden_duty_kashima.jpg
2, Graf Zeppelin, Graf Zeppelins Me Time, https://www.pixiv.net/artworks/54303546, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_graf_zeppelins_me_time.jpg
2, Abyssal, Harbor Summer Princess, https://www.pixiv.net/artworks/58632284, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_harbor_summer_princess.jpg
2, Haruna, Haruna Lends A Hand, https://www.pixiv.net/artworks/54911377, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_haruna_lends_a_hand.jpg
2, Hibiki, Hibikis Cuddly Pet, https://www.pixiv.net/artworks/60926319, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_hibikis_cuddly_pet.jpg
