row,col,hsa,hs,ha,thsa,ths,tha
1,1,14,14,0,65,64,1
5,1,9,9,0,66,62,4
8,1,106,106,0,421,402,19
9,1,11,11,0,43,41,2
11,1,35,35,0,341,321,20
13,1,4,4,0,11,9,2
14,1,74,74,0,642,576,66
1,2,62,62,0,273,220,53
5,2,55,55,0,223,203,20
8,2,293,293,0,1184,1127,57
9,2,43,43,0,148,143,5
11,2,165,165,0,1048,958,90
13,2,6,6,0,18,17,1
14,2,201,201,0,1931,1728,203
16,2,6,6,0,16,11,5
1,3,111,111,0,557,462,95
2,3,42,42,0,643,614,29
3,3,11,11,0,192,178,14
4,3,36,36,0,494,477,17
5,3,227,219,8,898,829,69
6,3,57,57,0,678,667,11
7,3,33,33,0,457,445,12
8,3,614,603,11,2515,2386,129
9,3,20,20,0,280,276,4
11,3,824,824,0,4016,3828,188
12,3,34,34,0,78,78,0
13,3,14,11,3,42,34,8
14,3,576,576,0,3467,3162,305
15,3,7,7,0,47,32,15
16,3,10,9,1,42,23,19
1,4,90,90,0,451,394,57
2,4,45,45,0,534,511,23
3,4,4,4,0,165,157,8
4,4,25,25,0,377,346,31
5,4,212,201,11,753,673,80
6,4,60,60,0,646,632,14
7,4,18,18,0,403,388,15
8,4,478,462,16,1796,1701,95
11,4,681,681,0,2923,2797,126
12,4,36,35,1,94,93,1
13,4,12,8,4,20,13,7
14,4,437,437,0,2124,1953,171
15,4,14,14,0,47,40,7
16,4,12,8,4,32,13,19
1,5,48,48,0,215,192,23
2,5,14,14,0,225,211,14
3,5,6,6,0,70,62,8
4,5,16,16,0,162,154,8
5,5,60,56,4,287,255,32
6,5,24,24,0,263,258,5
7,5,11,11,0,150,144,6
8,5,209,209,0,796,765,31
11,5,332,332,0,1589,1519,70
12,5,18,18,0,68,67,1
14,5,182,182,0,1160,1065,95
15,5,3,3,0,11,10,1
16,5,6,4,2,12,8,4
1,6,96,96,0,634,555,79
2,6,64,64,0,735,693,42
3,6,18,18,0,228,211,17
4,6,47,47,0,603,561,42
5,6,259,247,12,1016,926,90
6,6,90,90,0,917,898,19
7,6,49,49,0,563,543,20
8,6,550,526,24,2128,2006,122
11,6,1061,1061,0,4709,4533,176
12,6,109,107,2,300,296,4
13,6,8,7,1,19,15,4
14,6,556,556,0,3116,2830,286
15,6,9,9,0,40,28,12
16,6,23,15,8,45,28,17
1,7,127,127,0,708,607,101
2,7,81,81,0,1061,1015,46
3,7,27,27,0,328,308,20
4,7,59,59,0,770,728,42
5,7,385,369,16,1473,1363,110
6,7,108,108,0,1364,1333,31
7,7,54,54,0,761,736,25
8,7,706,672,34,2631,2482,149
10,7,2,2,0,7,5,2
11,7,1309,1309,0,5442,5227,215
12,7,210,210,0,565,561,4
13,7,3,3,0,12,10,2
14,7,696,696,0,3700,3393,307
15,7,14,14,0,79,71,8
16,7,30,21,9,73,51,22
1,8,96,96,0,435,389,46
2,8,54,54,0,629,607,22
3,8,13,13,0,164,153,11
4,8,37,37,0,456,428,28
5,8,227,214,13,850,757,93
6,8,91,91,0,827,817,10
7,8,20,20,0,452,442,10
8,8,374,357,17,1515,1430,85
11,8,719,719,0,2992,2884,108
12,8,134,134,0,332,329,3
13,8,3,3,0,18,12,6
14,8,405,405,0,2152,1956,196
15,8,22,22,0,66,61,5
16,8,22,12,10,48,33,15
1,9,32,32,0,198,174,24
2,9,19,19,0,269,260,9
3,9,5,5,0,76,73,3
4,9,21,21,0,206,196,10
5,9,83,80,3,381,342,39
6,9,32,32,0,365,361,4
7,9,14,14,0,188,179,9
8,9,165,160,5,582,547,35
11,9,354,354,0,1496,1435,61
12,9,71,71,0,202,199,3
13,9,2,2,0,6,4,2
14,9,196,196,0,1298,1176,122
15,9,9,9,0,31,30,1
16,9,2,2,0,5,5,0
1,10,146,146,0,648,581,67
2,10,56,56,0,785,745,40
3,10,21,21,0,226,219,7
4,10,39,39,0,613,573,40
5,10,292,275,17,1171,1071,100
6,10,84,84,0,1062,1039,23
7,10,48,48,0,548,530,18
8,10,451,428,23,1827,1716,111
11,10,987,987,0,4362,4213,149
12,10,184,182,2,458,453,5
13,10,5,5,0,25,15,10
14,10,587,587,0,3450,3113,337
15,10,16,16,0,81,74,7
16,10,25,17,8,63,34,29
1,11,182,182,0,818,739,79
2,11,104,104,0,1053,1015,38
3,11,23,23,0,321,305,16
4,11,64,64,0,831,784,47
5,11,370,356,14,1439,1302,137
6,11,133,133,0,1421,1400,21
7,11,67,67,0,766,742,24
8,11,601,579,22,2307,2205,102
10,11,2,2,0,12,10,2
11,11,1167,1167,0,4962,4780,182
12,11,235,234,1,588,584,4
13,11,2,1,1,13,5,8
14,11,685,685,0,3964,3585,379
15,11,24,24,0,81,70,11
16,11,28,19,9,71,41,30
1,12,95,95,0,402,373,29
2,12,29,29,0,502,476,26
3,12,9,9,0,149,137,12
4,12,27,27,0,408,386,22
5,12,208,202,6,781,711,70
6,12,48,48,0,683,671,12
7,12,24,24,0,369,354,15
8,12,309,300,9,1205,1140,65
11,12,549,549,0,2271,2164,107
12,12,102,102,0,257,255,2
13,12,2,1,1,10,5,5
14,12,372,372,0,1951,1779,172
15,12,3,3,0,18,18,0
16,12,13,9,4,31,19,12
1,13,32,32,0,203,172,31
2,13,11,11,0,172,168,4
3,13,5,5,0,49,45,4
4,13,17,17,0,166,162,4
5,13,85,85,0,311,288,23
6,13,17,17,0,242,237,5
7,13,7,7,0,137,133,4
8,13,91,83,8,434,405,29
11,13,179,179,0,806,782,24
12,13,32,32,0,79,79,0
14,13,170,170,0,1391,1249,142
15,13,2,2,0,15,15,0
1,14,69,69,0,400,351,49
2,14,38,38,0,384,373,11
3,14,8,8,0,119,116,3
4,14,30,30,0,325,309,16
5,14,138,133,5,545,498,47
6,14,46,46,0,505,498,7
7,14,23,23,0,266,254,12
8,14,249,240,9,966,920,46
11,14,399,399,0,2003,1919,84
12,14,81,79,2,226,222,4
13,14,4,4,0,11,8,3
14,14,444,444,0,2947,2646,301
15,14,8,8,0,38,36,2
16,14,8,4,4,18,8,10
1,15,113,113,0,573,501,72
2,15,45,45,0,757,727,30
3,15,8,8,0,242,226,16
4,15,40,40,0,523,490,33
5,15,266,250,16,1026,920,106
6,15,74,74,0,970,947,23
7,15,41,41,0,562,534,28
8,15,395,380,15,1675,1606,69
11,15,751,751,0,3468,3330,138
12,15,213,213,0,484,483,1
13,15,10,8,2,25,19,6
14,15,751,751,0,4594,4135,459
15,15,16,16,0,50,45,5
16,15,15,9,6,41,23,18
1,16,71,71,0,344,311,33
2,16,45,45,0,475,461,14
3,16,18,18,0,179,167,12
4,16,25,25,0,358,328,30
5,16,165,155,10,585,527,58
6,16,49,49,0,573,557,16
7,16,28,28,0,320,313,7
8,16,244,229,15,1005,946,59
11,16,419,419,0,1969,1891,78
12,16,85,85,0,213,212,1
13,16,5,2,3,15,9,6
14,16,412,412,0,2377,2157,220
15,16,3,3,0,24,18,6
16,16,10,5,5,21,10,11
1,17,39,39,0,187,173,14
2,17,7,7,0,145,142,3
4,17,8,8,0,111,101,10
5,17,47,43,4,197,173,24
6,17,13,13,0,190,180,10
7,17,6,6,0,108,105,3
8,17,72,70,2,324,304,20
10,17,3,3,0,4,3,1
11,17,202,202,0,1173,1093,80
12,17,29,29,0,86,85,1
13,17,2,1,1,4,3,1
14,17,180,180,0,1413,1264,149
16,17,2,2,0,5,5,0
1,18,90,90,0,452,391,61
2,18,31,31,0,363,344,19
3,18,13,13,0,112,104,8
4,18,17,17,0,244,229,15
5,18,114,103,11,452,401,51
6,18,33,33,0,420,409,11
7,18,15,15,0,272,266,6
8,18,228,225,3,858,815,43
10,18,2,2,0,10,8,2
11,18,437,437,0,2245,2131,114
12,18,96,93,3,254,247,7
13,18,2,1,1,2,1,1
14,18,426,426,0,2799,2515,284
15,18,6,6,0,21,17,4
16,18,8,8,0,23,16,7
1,19,133,133,0,676,609,67
2,19,54,54,0,591,574,17
3,19,14,14,0,166,156,10
4,19,25,25,0,442,416,26
5,19,230,219,11,826,747,79
6,19,53,53,0,701,686,15
7,19,28,28,0,449,431,18
8,19,387,373,14,1534,1479,55
11,19,764,764,0,3760,3567,193
12,19,123,121,2,350,346,4
13,19,7,7,0,13,11,2
14,19,666,666,0,4430,3965,465
15,19,7,7,0,46,36,10
16,19,19,14,5,40,23,17
1,20,73,73,0,387,347,40
2,20,34,34,0,371,357,14
3,20,14,14,0,114,108,6
4,20,30,30,0,315,290,25
5,20,186,180,6,573,524,49
6,20,46,46,0,515,508,7
7,20,21,21,0,293,279,14
8,20,226,219,7,847,806,41
11,20,444,444,0,2211,2083,128
12,20,92,90,2,255,252,3
14,20,296,296,0,2053,1862,191
16,20,6,5,1,17,12,5
1,21,32,32,0,182,154,28
2,21,9,9,0,145,141,4
4,21,7,7,0,125,116,9
5,21,40,40,0,202,182,20
6,21,12,12,0,175,173,2
7,21,7,7,0,99,96,3
8,21,77,77,0,352,337,15
11,21,200,200,0,1069,998,71
12,21,23,23,0,68,68,0
13,21,2,2,0,3,2,1
14,21,138,138,0,1206,1097,109
15,21,2,2,0,15,13,2
16,21,9,5,4,15,8,7
1,22,83,83,0,390,360,30
2,22,25,25,0,328,314,14
3,22,7,7,0,103,96,7
4,22,19,19,0,258,240,18
5,22,117,109,8,426,386,40
6,22,31,31,0,427,417,10
7,22,21,21,0,249,239,10
8,22,204,196,8,852,813,39
10,22,2,0,2,6,4,2
11,22,498,498,0,2432,2309,123
12,22,70,70,0,171,169,2
13,22,6,4,2,14,10,4
14,22,357,357,0,2703,2405,298
