row,col,hsa,hs,ha,thsa,ths,tha
1,1,10,10,0,25,24,1
2,1,187,185,2,591,580,11
3,1,250,233,17,1359,1272,87
4,1,21,21,0,65,64,1
5,1,32,28,4,86,75,11
7,1,31,28,3,336,228,108
10,1,6,6,0,47,42,5
12,1,10,10,0,39,35,4
14,1,19,18,1,66,62,4
15,1,14,14,0,64,62,2
20,1,116,108,8,421,402,19
22,1,5,5,0,25,25,0
24,1,17,16,1,43,41,2
32,1,66,54,12,299,245,54
33,1,47,46,1,225,209,16
35,1,60,58,2,341,321,20
36,1,42,42,0,327,313,14
38,1,3,3,0,11,10,1
39,1,10,10,0,42,38,4
40,1,8,3,5,21,12,9
43,1,29,29,0,64,62,2
44,1,14,14,0,44,43,1
45,1,2,2,0,4,4,0
46,1,2,1,1,11,9,2
48,1,72,72,0,679,620,59
49,1,78,76,2,642,576,66
53,1,9,1,8,29,1,28
55,1,6,4,2,28,24,4
57,1,2,2,0,16,15,1
60,1,21,9,12,67,30,37
62,1,13,7,6,54,44,10
1,2,10,10,0,23,23,0
2,2,656,645,11,2107,2068,39
3,2,755,726,29,3941,3720,221
4,2,87,87,0,273,220,53
5,2,103,97,6,355,328,27
7,2,137,118,19,885,572,313
10,2,17,17,0,134,122,12
11,2,6,6,0,46,37,9
12,2,10,10,0,140,120,20
14,2,51,44,7,223,203,20
15,2,31,31,0,166,162,4
17,2,10,10,0,112,109,3
19,2,5,5,0,28,25,3
20,2,378,353,25,1184,1127,57
22,2,30,30,0,66,66,0
24,2,57,54,3,148,143,5
27,2,4,3,1,6,4,2
32,2,216,190,26,982,838,144
33,2,138,135,3,737,708,29
34,2,3,3,0,8,8,0
35,2,219,215,4,1048,958,90
36,2,155,155,0,1004,952,52
37,2,3,3,0,15,14,1
38,2,6,6,0,27,27,0
39,2,32,32,0,122,99,23
40,2,29,18,11,71,50,21
43,2,87,87,0,182,174,8
44,2,60,57,3,195,182,13
45,2,7,7,0,16,16,0
46,2,7,6,1,18,17,1
48,2,254,254,0,2074,1884,190
49,2,284,262,22,1931,1728,203
53,2,29,4,25,126,7,119
54,2,2,2,0,15,7,8
55,2,21,20,1,69,53,16
57,2,9,5,4,36,31,5
60,2,53,20,33,191,95,96
61,2,5,2,3,16,11,5
62,2,40,27,13,184,155,29
1,3,13,11,2,32,28,4
2,3,1097,1078,19,3900,3843,57
3,3,1804,1721,83,7345,6957,388
4,3,151,151,0,557,462,95
5,3,318,290,28,974,904,70
6,3,125,125,0,1337,785,552
7,3,353,304,49,1479,1040,439
8,3,74,74,0,781,416,365
9,3,14,14,0,351,186,165
10,3,70,70,0,643,614,29
11,3,19,19,0,192,178,14
12,3,54,54,0,494,477,17
13,3,54,54,0,247,232,15
14,3,216,206,10,898,829,69
15,3,94,94,0,678,667,11
16,3,223,223,0,867,841,26
17,3,45,45,0,457,445,12
18,3,72,72,0,337,289,48
19,3,30,30,0,89,78,11
20,3,786,731,55,2515,2386,129
22,3,38,38,0,130,126,4
24,3,93,93,0,280,276,4
27,3,2,1,1,6,2,4
32,3,510,417,93,2289,1999,290
33,3,308,291,17,1542,1481,61
34,3,7,7,0,16,16,0
35,3,936,906,30,4016,3828,188
36,3,893,893,0,3688,3614,74
37,3,6,4,2,21,17,4
38,3,14,14,0,55,54,1
39,3,113,113,0,292,252,40
40,3,52,27,25,167,95,72
41,3,12,12,0,78,78,0
42,3,140,115,25,785,672,113
43,3,144,144,0,265,251,14
44,3,90,86,4,344,329,15
45,3,16,16,0,45,45,0
46,3,12,12,0,42,34,8
47,3,6,1,5,21,5,16
48,3,629,629,0,3760,3376,384
49,3,672,632,40,3467,3162,305
53,3,31,2,29,172,8,164
54,3,2,2,0,6,2,4
