row,col,hsa,hs,ha,thsa,ths,tha
1,1,15,15,0,86,75,11
2,1,20,20,0,336,228,108
5,1,65,65,0,299,245,54
7,1,3,3,0,3,3,0
9,1,5,5,0,21,12,9
11,1,9,9,0,67,30,37
12,1,20,20,0,54,44,10
1,2,88,88,0,355,328,27
2,2,47,47,0,885,572,313
5,2,251,251,0,982,838,144
7,2,2,2,0,15,14,1
9,2,13,13,0,71,50,21
11,2,33,33,0,191,95,96
12,2,74,74,0,184,155,29
1,3,225,225,0,974,904,70
2,3,144,144,0,1479,1040,439
3,3,42,42,0,247,232,15
4,3,116,116,0,867,841,26
5,3,674,674,0,2289,1999,290
6,3,686,686,0,3688,3614,74
7,3,5,5,0,21,17,4
9,3,33,22,11,167,95,72
10,3,213,197,16,785,672,113
11,3,82,82,0,404,178,226
12,3,145,127,18,411,328,83
1,4,163,163,0,773,707,66
2,4,132,132,0,1130,865,265
3,4,47,47,0,200,185,15
4,4,130,130,0,747,728,19
5,4,472,472,0,1497,1303,194
6,4,582,582,0,2836,2795,41
7,4,8,8,0,26,15,11
9,4,34,26,8,125,75,50
10,4,181,167,14,540,446,94
11,4,73,73,0,362,146,216
12,4,72,55,17,265,205,60
1,5,86,86,0,385,354,31
2,5,54,54,0,589,431,158
3,5,10,10,0,88,77,11
4,5,47,47,0,300,286,14
5,5,249,249,0,838,738,100
6,5,278,278,0,1577,1549,28
9,5,23,19,4,92,70,22
10,5,100,93,7,342,292,50
11,5,31,31,0,141,64,77
12,5,41,33,8,146,108,38
1,6,402,402,0,1519,1419,100
2,6,151,151,0,1526,1153,373
3,6,40,40,0,269,247,22
4,6,197,197,0,1051,1022,29
5,6,712,712,0,2369,2043,326
6,6,903,903,0,4366,4308,58
7,6,7,7,0,33,24,9
9,6,61,47,14,272,169,103
10,6,282,263,19,909,775,134
11,6,93,93,0,417,187,230
12,6,141,118,23,409,307,102
1,7,425,425,0,2022,1894,128
2,7,237,237,0,1963,1548,415
3,7,84,84,0,452,414,38
4,7,257,257,0,1479,1440,39
5,7,924,924,0,2915,2500,415
6,7,1078,1078,0,5113,5051,62
7,7,11,11,0,58,40,18
9,7,98,69,29,409,260,149
10,7,351,329,22,1036,884,152
11,7,103,103,0,534,235,299
12,7,173,126,47,492,357,135
1,8,300,300,0,1308,1218,90
2,8,157,157,0,1265,1003,262
3,8,47,47,0,226,208,18
4,8,149,149,0,868,847,21
5,8,555,555,0,1647,1452,195
6,8,626,626,0,2932,2882,50
7,8,2,2,0,17,9,8
9,8,56,46,10,227,134,93
10,8,165,153,12,548,446,102
11,8,71,71,0,328,149,179
12,8,88,59,29,251,162,89
1,9,148,148,0,652,605,47
2,9,89,89,0,783,600,183
3,9,13,13,0,116,106,10
4,9,53,53,0,354,344,10
5,9,227,227,0,837,699,138
6,9,293,293,0,1445,1430,15
7,9,4,4,0,14,10,4
9,9,30,25,5,120,82,38
10,9,80,71,9,240,193,47
11,9,31,31,0,140,66,74
12,9,37,32,5,120,95,25
1,10,436,436,0,1992,1882,110
2,10,218,218,0,2088,1614,474
3,10,49,49,0,303,286,17
4,10,200,200,0,1129,1084,45
5,10,799,799,0,2585,2256,329
6,10,871,871,0,4108,4057,51
7,10,7,7,0,39,27,12
9,10,105,68,37,384,218,166
10,10,267,246,21,790,665,125
11,10,94,94,0,369,177,192
12,10,166,144,22,473,371,102
1,11,481,481,0,2367,2227,140
2,11,255,255,0,2155,1641,514
3,11,72,72,0,387,364,23
4,11,243,243,0,1416,1383,33
5,11,1056,1056,0,3380,2911,469
6,11,998,998,0,4702,4630,72
7,11,12,12,0,45,36,9
9,11,144,98,46,569,328,241
10,11,300,270,30,865,686,179
11,11,106,106,0,512,212,300
12,11,170,140,30,509,397,112
1,12,238,238,0,1107,1047,60
2,12,154,154,0,1306,999,307
3,12,31,31,0,203,189,14
4,12,128,128,0,743,724,19
5,12,461,461,0,1585,1284,301
6,12,422,422,0,2102,2073,29
7,12,8,8,0,25,19,6
9,12,95,64,31,346,175,171
