row,col,hsa,hs,ha,thsa,ths,tha
1,1,5,5,0,25,24,1
2,1,118,118,0,591,580,11
3,1,133,133,0,1359,1272,87
9,1,13,13,0,25,25,0
14,1,52,52,0,225,209,16
16,1,3,3,0,11,10,1
17,1,14,14,0,44,43,1
23,1,10,10,0,28,24,4
24,1,8,8,0,16,15,1
1,2,4,4,0,23,23,0
2,2,403,403,0,2107,2068,39
3,2,523,523,0,3941,3720,221
9,2,19,19,0,66,66,0
14,2,148,148,0,737,708,29
16,2,6,6,0,27,27,0
17,2,52,52,0,195,182,13
18,2,2,2,0,16,16,0
22,2,2,2,0,126,7,119
23,2,12,12,0,69,53,16
24,2,17,17,0,36,31,5
1,3,6,6,0,32,28,4
2,3,1013,1013,0,3900,3843,57
3,3,1554,1554,0,7345,6957,388
7,3,72,72,0,337,289,48
8,3,19,19,0,89,78,11
9,3,40,40,0,130,126,4
10,3,64,64,0,280,276,4
14,3,611,599,12,1542,1481,61
15,3,5,5,0,16,16,0
16,3,22,22,0,55,54,1
17,3,126,125,1,344,329,15
18,3,14,14,0,45,45,0
19,3,6,2,4,21,5,16
22,3,28,5,23,172,8,164
23,3,19,19,0,98,73,25
24,3,58,56,2,118,109,9
1,4,14,14,0,33,33,0
2,4,581,581,0,2484,2456,28
3,4,1258,1258,0,5369,5027,342
7,4,49,49,0,219,195,24
8,4,37,37,0,133,132,1
9,4,18,18,0,72,72,0
10,4,52,51,1,173,172,1
14,4,465,450,15,1016,961,55
15,4,3,3,0,20,20,0
16,4,18,18,0,42,40,2
17,4,110,101,9,324,294,30
18,4,7,7,0,19,19,0
19,4,2,1,1,12,3,9
22,4,24,1,23,129,3,126
23,4,13,13,0,64,47,17
24,4,49,45,4,99,88,11
1,5,7,7,0,32,28,4
2,5,314,314,0,1248,1233,15
3,5,457,457,0,2214,2040,174
7,5,30,30,0,136,125,11
8,5,16,16,0,66,61,5
9,5,14,14,0,50,49,1
10,5,38,36,2,118,113,5
14,5,254,246,8,602,571,31
16,5,3,3,0,13,13,0
17,5,41,41,0,157,151,6
22,5,9,1,8,72,3,69
23,5,9,9,0,36,25,11
24,5,14,14,0,43,41,2
1,6,10,10,0,28,26,2
2,6,851,851,0,3303,3264,39
3,6,1453,1453,0,6100,5765,335
7,6,119,119,0,501,448,53
8,6,90,90,0,407,399,8
9,6,29,29,0,108,108,0
10,6,86,85,1,308,293,15
14,6,698,663,35,1617,1507,110
16,6,15,15,0,59,59,0
17,6,173,170,3,553,527,26
18,6,5,5,0,30,30,0
19,6,6,1,5,15,4,11
22,6,17,2,15,190,8,182
23,6,18,18,0,90,65,25
24,6,52,48,4,125,113,12
1,7,5,5,0,27,27,0
2,7,1082,1082,0,4200,4135,65
3,7,1950,1950,0,8307,7832,475
7,7,182,182,0,826,766,60
8,7,139,139,0,538,521,17
9,7,28,28,0,108,104,4
10,7,147,144,3,498,480,18
14,7,815,789,26,1894,1779,115
15,7,9,9,0,38,36,2
16,7,28,28,0,73,72,1
17,7,245,237,8,693,662,31
18,7,8,8,0,36,36,0
19,7,5,2,3,17,5,12
22,7,39,5,34,238,12,226
23,7,19,19,0,131,94,37
24,7,62,59,3,127,116,11
1,8,9,9,0,20,16,4
2,8,662,662,0,2551,2514,37
3,8,1104,1104,0,4815,4497,318
7,8,114,114,0,458,424,34
8,8,84,84,0,354,342,12
9,8,24,24,0,85,84,1
10,8,82,80,2,261,257,4
14,8,429,411,18,1046,969,77
16,8,18,18,0,49,48,1
17,8,157,153,4,467,446,21
18,8,10,10,0,25,25,0
19,8,2,0,2,8,3,5
22,8,31,4,27,122,12,110
23,8,23,23,0,74,53,21
24,8,41,38,3,79,73,6
1,9,3,3,0,13,12,1
2,9,306,306,0,1256,1236,20
3,9,497,497,0,2323,2163,160
7,9,51,51,0,239,225,14
8,9,43,43,0,167,166,1
9,9,13,13,0,42,42,0
10,9,35,34,1,146,138,8
14,9,206,197,9,518,477,41
16,9,5,5,0,19,19,0
17,9,66,62,4,236,225,11
18,9,2,2,0,7,7,0
22,9,7,0,7,50,0,50
23,9,4,4,0,27,16,11
24,9,25,24,1,49,45,4
1,10,4,4,0,30,28,2
2,10,931,931,0,3647,3590,57
3,10,1389,1389,0,6191,5789,402
7,10,120,120,0,562,531,31
8,10,110,110,0,495,484,11
9,10,25,25,0,92,89,3
10,10,129,128,1,427,419,8
14,10,685,655,30,1658,1532,126
16,10,16,16,0,59,56,3
